_id,State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
1,Andhra Pradesh,1,Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96
2,Andhra Pradesh,1,Araku (ST),2,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62
3,Andhra Pradesh,1,Araku (ST),3,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,10.57
4,Andhra Pradesh,1,Araku (ST),4,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21
5,Andhra Pradesh,1,Araku (ST),5,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82
6,Andhra Pradesh,1,Araku (ST),6,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81
7,Andhra Pradesh,1,Araku (ST),7,ATHIDHI,Independent,8121,15,8136,0.7
8,Andhra Pradesh,1,Araku (ST),8,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62
9,Andhra Pradesh,1,Araku (ST),9,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58
10,Andhra Pradesh,1,Araku (ST),10,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52
11,Andhra Pradesh,1,Araku (ST),11,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43
12,Andhra Pradesh,1,Araku (ST),12,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43
13,Andhra Pradesh,1,Araku (ST),13,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39
14,Andhra Pradesh,1,Araku (ST),14,NOTA,None of the Above,50205,265,50470,4.33
15,Andhra Pradesh,2,Srikakulam,1,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05
16,Andhra Pradesh,2,Srikakulam,2,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,34.51
17,Andhra Pradesh,2,Srikakulam,3,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,0.58
18,Andhra Pradesh,2,Srikakulam,4,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,0.48
19,Andhra Pradesh,2,Srikakulam,5,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,0.38
20,Andhra Pradesh,2,Srikakulam,6,VABA YOGESWARA RAO,Independent,3472,126,3598,0.29
21,Andhra Pradesh,2,Srikakulam,7,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,0.21
22,Andhra Pradesh,2,Srikakulam,8,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,0.13
23,Andhra Pradesh,2,Srikakulam,9,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,0.11
24,Andhra Pradesh,2,Srikakulam,10,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,0.09
25,Andhra Pradesh,2,Srikakulam,11,KAYA DURGARAO,Navarang Congress Party,811,7,818,0.07
26,Andhra Pradesh,2,Srikakulam,12,CHELLURI DANIYAL,Independent,796,20,816,0.07
27,Andhra Pradesh,2,Srikakulam,13,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,0.05
28,Andhra Pradesh,2,Srikakulam,14,NOTA,None of the Above,24498,107,24605,1.99
29,Andhra Pradesh,3,Vizianagaram,1,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2
30,Andhra Pradesh,3,Vizianagaram,2,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,38
31,Andhra Pradesh,3,Vizianagaram,3,BOBBILI SRINU,Indian National Congress,10270,353,10623,0.82
32,Andhra Pradesh,3,Vizianagaram,4,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,0.62
33,Andhra Pradesh,3,Vizianagaram,5,VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,0.32
34,Andhra Pradesh,3,Vizianagaram,6,ALLU SRIRAMULU,Independent,3396,5,3401,0.26
35,Andhra Pradesh,3,Vizianagaram,7,SIYYADULA YELLA RAO,Independent,3105,2,3107,0.24
36,Andhra Pradesh,3,Vizianagaram,8,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,0.14
37,Andhra Pradesh,3,Vizianagaram,9,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,0.13
38,Andhra Pradesh,3,Vizianagaram,10,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,0.12
39,Andhra Pradesh,3,Vizianagaram,11,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,0.11
40,Andhra Pradesh,3,Vizianagaram,12,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,0.08
41,Andhra Pradesh,3,Vizianagaram,13,ADINARAYANA TADDI,Independent,855,1,856,0.07
42,Andhra Pradesh,3,Vizianagaram,14,P V A ANANDA SAGAR,Independent,787,4,791,0.06
43,Andhra Pradesh,3,Vizianagaram,15,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,0.06
44,Andhra Pradesh,3,Vizianagaram,16,NOTA,None of the Above,23097,153,23250,1.79
45,Andhra Pradesh,4,Visakhapatnam,1,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42
46,Andhra Pradesh,4,Visakhapatnam,2,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,29.07
47,Andhra Pradesh,4,Visakhapatnam,3,P. SATYA REDDY,Indian National Congress,29430,837,30267,2.18
48,Andhra Pradesh,4,Visakhapatnam,4,K.A. PAUL,Praja Shanthi Party,7529,167,7696,0.55
49,Andhra Pradesh,4,Visakhapatnam,5,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006,85,6091,0.44
50,Andhra Pradesh,4,Visakhapatnam,6,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883,1,4884,0.35
51,Andhra Pradesh,4,Visakhapatnam,7,V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),2534,3,2537,0.18
52,Andhra Pradesh,4,Visakhapatnam,8,ARUNA SRI MURALA,Independent,1991,2,1993,0.14
53,Andhra Pradesh,4,Visakhapatnam,9,VASUPILLI SURESH,Independent,1931,2,1933,0.14
54,Andhra Pradesh,4,Visakhapatnam,10,SONDI KRISHNA.,Independent,1811,7,1818,0.13
55,Andhra Pradesh,4,Visakhapatnam,11,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098,11,1109,0.08
56,Andhra Pradesh,4,Visakhapatnam,12,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944,6,950,0.07
57,Andhra Pradesh,4,Visakhapatnam,13,BANNA. RAMESH,Dalita Bahujana Party,941,7,948,0.07
58,Andhra Pradesh,4,Visakhapatnam,14,P. SATYA VANI,Pyramid Party of India,875,7,882,0.06
59,Andhra Pradesh,4,Visakhapatnam,15,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760,7,767,0.06
60,Andhra Pradesh,4,Visakhapatnam,16,CHAPPIDI RAMU,Independent,756,1,757,0.05
61,Andhra Pradesh,4,Visakhapatnam,17,M.G.M. KHAN,Independent,738,4,742,0.05
62,Andhra Pradesh,4,Visakhapatnam,18,SHANKAR DEVARA YADAV,Independent,656,5,661,0.05
63,Andhra Pradesh,4,Visakhapatnam,19,VENU MADHAV KARRI,Independent,646,1,647,0.05
64,Andhra Pradesh,4,Visakhapatnam,20,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628,10,638,0.05
65,Andhra Pradesh,4,Visakhapatnam,21,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628,5,633,0.05
66,Andhra Pradesh,4,Visakhapatnam,22,PIDIDHI APPARAO,Independent,576,4,580,0.04
67,Andhra Pradesh,4,Visakhapatnam,23,G.A.N. ANAND,Independent,543,-,543,0.04
68,Andhra Pradesh,4,Visakhapatnam,24,VADDI. HARI GANESH,Independent,518,2,520,0.04
69,Andhra Pradesh,4,Visakhapatnam,25,JANARDHAN PONNADA.,Independent,499,1,500,0.04
70,Andhra Pradesh,4,Visakhapatnam,26,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494,6,500,0.04
71,Andhra Pradesh,4,Visakhapatnam,27,JALADI VIJAYA KUMARI,Samajwadi Party,463,3,466,0.03
72,Andhra Pradesh,4,Visakhapatnam,28,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443,5,448,0.03
73,Andhra Pradesh,4,Visakhapatnam,29,GANDIKOTA RAJESH,Navataram Party,392,1,393,0.03
74,Andhra Pradesh,4,Visakhapatnam,30,KOLLI NAGA RAJU,Independent,322,7,329,0.02
75,Andhra Pradesh,4,Visakhapatnam,31,METTA RAMA RAO,Independent,320,6,326,0.02
76,Andhra Pradesh,4,Visakhapatnam,32,LAGUDU. GOVINDA RAO,Independent,293,1,294,0.02
77,Andhra Pradesh,4,Visakhapatnam,33,MALLA SRAVANI,Independent,271,2,273,0.02
78,Andhra Pradesh,4,Visakhapatnam,34,NOTA,None of the Above,5171,142,5313,0.38
79,Andhra Pradesh,5,Anakapalle,1,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5
80,Andhra Pradesh,5,Anakapalle,2,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13
81,Andhra Pradesh,5,Anakapalle,3,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94
82,Andhra Pradesh,5,Anakapalle,4,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45
83,Andhra Pradesh,5,Anakapalle,5,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3
84,Andhra Pradesh,5,Anakapalle,6,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29
